ID,PandaDoc Requirement,LiveKit Implementation,Implementation Type,Complexity,Status,Dependencies,Notes
Q4,Log qualification signals,webhook_send_conversation_event,Tool,Simple,Ready,Webhook URL,"Fire-and-forget event logging"
CF1,GREETING state,System prompt guidance,Configuration,Simple,Ready,Prompt tuning,"First 15-30 seconds"
CF2,DISCOVERY state,Natural conversation,Configuration,Simple,Ready,Prompt examples,"Understanding user needs"
CF3,VALUE_DEMO state,Tool calls triggered by agent,Configuration,Medium,Ready,Tools,"Agent naturally calls tools"
CF4,QUALIFICATION state,Signal tracking,Tool,Simple,Ready,"webhook_send_conversation_event","Implicit via tool parameters"
CF5,NEXT_STEPS state,Meeting booking tool,Tool,Complex,Ready,"chilipiper_book_meeting","Ensure momentum"
CF6,CLOSING state,Agent instructions,Configuration,Simple,Ready,Prompt tuning,"Graceful exit"
CF7,ESCALATION state,ToolError + handoff,Implementation,Medium,Ready,Handoff pattern,"Transfer to human"
EH1,Tool timeout with fallback,asyncio.wait_for + ToolError,Implementation,Medium,Ready,None,"Graceful degradation strategy"
EH2,API failure recovery,try/except + ToolError,Implementation,Simple,Ready,None,"Wrap external errors"
EH3,Parameter validation,Pydantic @Field constraints,Implementation,Simple,Ready,Pydantic,"Type checking, range validation"
EH4,Misunderstanding recovery,Agent restate + retry,Configuration,Simple,Ready,Prompt tuning,"Natural recovery patterns"
EH5,Escalation triggers,ToolError recognition,Implementation,Medium,Ready,Prompt tuning,"Angry tone, 'speak to human' 2x"
RL1,Max 10 KB searches per call,Track in tool state,Implementation,Simple,Ready,None,"Rate limit enforcement"
RL2,Max 3 tool calls per turn,LLM naturally respects,Configuration,Simple,Ready,None,"Automatic via LLM"
RL3,Max 5 emails per conversation,Track in tool state,Implementation,Simple,Ready,None,"Rate limit enforcement"
RL4,Max 2 booking attempts,Track in tool state,Implementation,Simple,Ready,None,"Rate limit enforcement"
C1,AI disclosure <30s,System prompt opening,Configuration,Simple,Ready,Prompt tuning,"Natural disclosure in first message"
C2,Recording consent,System prompt opening,Configuration,Simple,Ready,Prompt tuning,"Consent request in greeting"
C3,TCPA compliance (outbound),Out of scope for MVP,N/A,N/A,"Out of scope",None,"Requires opt-in infrastructure"
C4,Scope boundaries,System prompt guardrails,Configuration,Simple,Ready,Prompt tuning,"What agent cannot do"
C5,Safety constraints,System prompt guardrails,Configuration,Simple,Ready,Prompt tuning,"Account access, payments, legal"
INTEG1,Unleash KB integration,Mock data → Real API,Integration,Medium,"Phase 2",Real Unleash API,"Replace mock KB fetch"
INTEG2,HubSpot integration,Mock data → Real API,Integration,Medium,"Phase 2",Real HubSpot API,"Replace mock email send"
INTEG3,ChiliPiper integration,Mock data → Real API,Integration,Complex,"Phase 2",Real ChiliPiper API,"Replace mock booking"
INTEG4,PandaDoc API V2,User input fallback → Real API,Integration,Medium,"Phase 2",PandaDoc API,"Replace user questions"
INTEG5,Sentiment analysis,None → Sentiment model,Integration,Medium,"Phase 2",Sentiment model,"Detect angry tone"
SA1,Technical specialist sub-agent,None → Technical agent,Implementation,Complex,"Phase 3",Agent handoff,"API/integration questions"
SA2,Enterprise specialist sub-agent,None → Enterprise agent,Implementation,Complex,"Phase 3",Agent handoff,"50+ seats, compliance"
SA3,Billing specialist sub-agent,None → Billing agent,Implementation,Complex,"Phase 3",Agent handoff,"Payment/discount requests"
ADV1,Salesforce CRM sync,Webhook → Salesforce integration,Integration,Complex,"Phase 3",Salesforce API,"Opportunity creation"
ADV2,Territory-based routing,Simple round-robin → Rules engine,Implementation,Medium,"Phase 3",Routing rules,"Segment-based assignment"
